id,conversation,text,retweets,favorites,username
2,2,2,2,2,2
2664,2664,2664,2664,2664,2664
8851,8851,8851,8851,8851,8851
4323,4323,4323,4323,4323,4323
2341,2341,2341,2341,2341,2341
1509,1509,1509,1509,1509,1509
1208,1208,1208,1208,1208,1208
666,666,666,666,666,666
651,651,651,651,651,651
683,683,683,683,683,683
610,610,610,610,610,610
553,553,553,553,553,553
527,527,527,527,527,527
535,535,535,535,535,535
361,361,361,361,361,361
359,359,359,359,359,359
530,530,530,530,530,530
303,303,303,303,303,303
415,415,415,415,415,415
293,293,293,293,293,293
313,313,313,313,313,313
225,225,225,225,225,225
233,233,233,233,233,233
304,304,304,304,304,304
265,265,265,265,265,265
235,235,235,235,235,235
646,646,646,646,646,646
846,846,846,846,846,846
486,486,486,486,486,486
579,579,579,579,579,579
624,624,624,624,624,624
8300,8300,8300,8300,8300,8300
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
